"id","edicao","topico","titulo","link","selecionado","foco","nivel","aplicacao","tema","tecnologia"
"05-2A",5,Statistics Education at the post-secondary level,Re-Thinking Stat 101,https://iase-web.org/documents/papers/icots5/Topic2a.pdf,0,,Superior,,,
"05-2B",5,Statistics Education at the post-secondary level,Using Collaborative Learning Packages To Teach Introductory Statistics At The Post-Secondary Level,https://iase-web.org/documents/papers/icots5/Topic2b.pdf,0,,Superior,,,
"05-2C",5,Statistics Education at the post-secondary level,Workshop Statistics: Dissemination And Assessment,https://iase-web.org/documents/papers/icots5/Topic2c.pdf,0,,Superior,,,
"05-2D",5,Statistics Education at the post-secondary level,Using Activities In Stats 101,https://iase-web.org/documents/papers/icots5/Topic2d.pdf,0,,Superior,,,
"05-2E",5,Statistics Education at the post-secondary level,"Statistics For Vocational, Technical, And 2-Year College Students",https://iase-web.org/documents/papers/icots5/Topic2e.pdf,0,,Superior,,,
"05-2F",5,Statistics Education at the post-secondary level,Statistics Teaching And The Textbook - An Uneasy Alliance,https://iase-web.org/documents/papers/icots5/Topic2f.pdf,0,,Superior,,,
"05-2G",5,Statistics Education at the post-secondary level,On Teaching Statistics To Non-Specialists: A Course Aimed At Increasing Both Learning And Retention,https://iase-web.org/documents/papers/icots5/Topic2g.pdf,0,,Superior,,,
"05-2H",5,Statistics Education at the post-secondary level,Statistical Cases To Increase Learning And Motivation,https://iase-web.org/documents/papers/icots5/Topic2h.pdf,1,aluno,Superior,ferramenta,pedagogia,NI
"05-2I",5,Statistics Education at the post-secondary level,Introductory Statistics: A Cooperative Learning Approach,https://iase-web.org/documents/papers/icots5/Topic2i.pdf,0,,Superior,,,
"05-2J",5,Statistics Education at the post-secondary level,Developing A Statistics Syllabus For Finance And Accounting,https://iase-web.org/documents/papers/icots5/Topic2j.pdf,0,,Superior,,,
"05-2K",5,Statistics Education at the post-secondary level,A New Angle On The t-Test,https://iase-web.org/documents/papers/icots5/Topic2k.pdf,0,,Superior,,,
"05-2L",5,Statistics Education at the post-secondary level,Using Maple For Instruction In Undergraduate Probability And Statistics,https://iase-web.org/documents/papers/icots5/Topic2l.pdf,1,aluno,Superior,ferramenta,tecnologia,Maple
"05-2M",5,Statistics Education at the post-secondary level,Experimental Design Training On The World Wide Web,https://iase-web.org/documents/papers/icots5/Topic2m.pdf,0,,Superior,,,
"05-2N",5,Statistics Education at the post-secondary level,Bears In Space: Activities To Introduce Basic Ideas Of Design,https://iase-web.org/documents/papers/icots5/Topic2n.pdf,0,,Superior,,,
"05-2O",5,Statistics Education at the post-secondary level,Understanding Statistical Design And Analysis Of Experiments In The Classroom,https://iase-web.org/documents/papers/icots5/Topic2o.pdf,0,,Superior,,,
"05-2P",5,Statistics Education at the post-secondary level,"Using Simulation, Sports, And The WWW To Help Students Experience Experimental Design",https://iase-web.org/documents/papers/icots5/Topic2p.pdf,0,,Superior,,,
"05-2Q",5,Statistics Education at the post-secondary level,Student Perceptions Of Bayesian Statistics,https://iase-web.org/documents/papers/icots5/Topic2q.pdf,0,,Superior,,,
"05-2R",5,Statistics Education at the post-secondary level,Teaching Bayesian Methods For Experimental Data Analysis,https://iase-web.org/documents/papers/icots5/Topic2r.pdf,0,,Superior,,,
"05-2S",5,Statistics Education at the post-secondary level,Using Bayesian Strength Of Belief To Teach Classical Statistics,https://iase-web.org/documents/papers/icots5/Topic2s.pdf,0,,Superior,,,
"05-2T",5,Statistics Education at the post-secondary level,Classical And Bayesian Paradigms: Can We Teach Both?,https://iase-web.org/documents/papers/icots5/Topic2t.pdf,0,,Superior,,,
"05-2U",5,Statistics Education at the post-secondary level,Communicating Sampling Concepts To Social Scientists : The CASS Experience,https://iase-web.org/documents/papers/icots5/Topic2u.pdf,1,aluno,Superior,ferramenta,pedagogia,STATA
"05-2V",5,Statistics Education at the post-secondary level,A Course On Sample Surveys For Statistics Students,https://iase-web.org/documents/papers/icots5/Topic2v.pdf,1,aluno,Superior,ferramenta,pedagogia,"Minitab,STEPS"
"05-2W",5,Statistics Education at the post-secondary level,Teaching Sampling Theory Using Ecological Examples,https://iase-web.org/documents/papers/icots5/Topic2w.pdf,0,,Superior,,,
"05-2X",5,Statistics Education at the post-secondary level,Teaching Of Sample Survey Design And Analysis In The In-Service Training Programme Of Statistical Officers,https://iase-web.org/documents/papers/icots5/Topic2x.pdf,0,,Superior,,,
"05-2Y",5,Statistics Education at the post-secondary level,Teaching Logistic Regression,https://iase-web.org/documents/papers/icots5/Topic2y.pdf,0,,Superior,,,
"05-2Z",5,Statistics Education at the post-secondary level,Teaching Statistics To Medical Doctors Via The World Wide Web,https://iase-web.org/documents/papers/icots5/Topic2z.pdf,0,,Superior,,,
"05-2ZA",5,Statistics Education at the post-secondary level,Teaching Biostatistics To Clinical Research Groups,https://iase-web.org/documents/papers/icots5/Topic2za.pdf,0,,Superior,,,
"05-2ZB",5,Statistics Education at the post-secondary level,Improving The Classical Uses Of Regression Modelling,https://iase-web.org/documents/papers/icots5/Topic2zb.pdf,0,,Superior,,,
"05-2ZC",5,Statistics Education at the post-secondary level,Properties Of The Sample Correlation Of The Bivariate Lognormal Distribution,https://iase-web.org/documents/papers/icots5/Topic2zc.pdf,0,,Superior,,,
"05-3A",5,Statistics Education for people in the workplace,"Employee’s Perception On Teaching, Learning And Use Of Quantitative Methods: A Survey Report",https://iase-web.org/documents/papers/icots5/Topic3a.pdf,0,,,,,
"05-3B",5,Statistics Education for people in the workplace,Experimenting With Quality Data: New Dimensions Of Statistical Education In Industrial Process Control,https://iase-web.org/documents/papers/icots5/Topic3b.pdf,0,,,,,
"05-3C",5,Statistics Education for people in the workplace,What Is Statistical Thinking?,https://iase-web.org/documents/papers/icots5/Topic3c.pdf,0,,,,,
"05-3D",5,Statistics Education for people in the workplace,The Teaching Aspects Of Consultancy,https://iase-web.org/documents/papers/icots5/Topic3d.pdf,0,,,,,
"05-3E",5,Statistics Education for people in the workplace,Statistical Consulting In Archaeology: Digging For Real Data.,https://iase-web.org/documents/papers/icots5/Topic3e.pdf,0,,,,,
"05-3F",5,Statistics Education for people in the workplace,Developing Case Studies Through Consultancies,https://iase-web.org/documents/papers/icots5/Topic3f.pdf,0,,,,,
"05-3G",5,Statistics Education for people in the workplace,"Group Consultancy, As Easy As Falling Off A Bicycle?",https://iase-web.org/documents/papers/icots5/Topic3g.pdf,0,,,,,
"05-3H",5,Statistics Education for people in the workplace,Consulting: The Two Way Street,https://iase-web.org/documents/papers/icots5/Topic3h.pdf,0,,,,,
"05-3I",5,Statistics Education for people in the workplace,Examining The Consultancy -Teaching Relationship For University Based Statisticians,https://iase-web.org/documents/papers/icots5/Topic3i.pdf,0,,,,,
"05-3J",5,Statistics Education for people in the workplace,ISI Briefing Seminar for Chief Statisticians,https://iase-web.org/documents/papers/icots5/Topic3j.pdf,0,,,,,
"05-3K",5,Statistics Education for people in the workplace,A Strategy For Continuing Professional Education In Statistics,https://iase-web.org/documents/papers/icots5/Topic3k.pdf,0,,,,,
"05-3L",5,Statistics Education for people in the workplace,Training European Statisticians: An International Training Programme For Official Statisticians.,https://iase-web.org/documents/papers/icots5/Topic3l.pdf,0,,,,,
"05-3M",5,Statistics Education for people in the workplace,Supporting The Distance Learning Of The Introductory Business Statistics Course By Telephone And E-Mail,https://iase-web.org/documents/papers/icots5/Topic3m.pdf,0,,,,,
"05-3N",5,Statistics Education for people in the workplace,An Overview Of Statistical Education At A Distance,https://iase-web.org/documents/papers/icots5/Topic3n.pdf,0,,,,,
"05-3O",5,Statistics Education for people in the workplace,Statistics For Workers In Social And Health Sciences By Flexible Learning Modes,https://iase-web.org/documents/papers/icots5/Topic3o.pdf,0,,,,,
"05-3P",5,Statistics Education for people in the workplace,SMART: Introducing Specialist Statistical Techniques Via The WEB,https://iase-web.org/documents/papers/icots5/Topic3p.pdf,0,,,,,
"05-3Q",5,Statistics Education for people in the workplace,Integrating Technology Into Teaching - The Scottish High-Speed Networks,https://iase-web.org/documents/papers/icots5/Topic3q.pdf,0,,,,,
"05-4A",5,Statistics Education and the wider society,The Royal Statistical Society’s Outreach Initiatives,https://iase-web.org/documents/papers/icots5/Topic4a.pdf,0,,,,,
"05-4B",5,Statistics Education and the wider society,"Tightrope Walking, Educational Issues And Statistical Societies.",https://iase-web.org/documents/papers/icots5/Topic4b.pdf,0,,,,,
"05-4D",5,Statistics Education and the wider society,Statistical Literacy - Statistics Long After School,https://iase-web.org/documents/papers/icots5/Topic4d.pdf,0,,,,,
"05-4E",5,Statistics Education and the wider society,Statistical Literacy And Adolescent Risk,https://iase-web.org/documents/papers/icots5/Topic4e.pdf,0,,,,,
"05-4F",5,Statistics Education and the wider society,Investigating The Nature Of Statistical Thinking,https://iase-web.org/documents/papers/icots5/Topic4f.pdf,0,,,,,
"05-4G",5,Statistics Education and the wider society,Graphical Literacy: What Does The Average Citizen Need To Know About Graphs,https://iase-web.org/documents/papers/icots5/Topic4g.pdf,0,,,,,
"05-4H",5,Statistics Education and the wider society,The Journal Of Statistics Education: The Challenges And Opportunities Of The Electronic Medium,https://iase-web.org/documents/papers/icots5/Topic4h.pdf,0,,,,,
"05-4I",5,Statistics Education and the wider society,Twenty Years of “Teaching Statistics”,https://iase-web.org/documents/papers/icots5/Topic4i.pdf,0,,,,,
"05-4J",5,Statistics Education and the wider society,The Teaching Statistics Mailbase List,https://iase-web.org/documents/papers/icots5/Topic4j.pdf,0,,,,,
"05-4K",5,Statistics Education and the wider society,The Statistics Teacher Network,https://iase-web.org/documents/papers/icots5/Topic4k.pdf,0,,,,,
"05-4L",5,Statistics Education and the wider society,Induzioni: The Italian Journal On Teaching Statistics,https://iase-web.org/documents/papers/icots5/Topic4l.pdf,0,,,,,
"05-4M",5,Statistics Education and the wider society,Experiences In Publishing A Statistics Journal In Estonia,https://iase-web.org/documents/papers/icots5/Topic4m.pdf,0,,,,,
"05-4N",5,Statistics Education and the wider society,Teaching Statistics To Law Students,https://iase-web.org/documents/papers/icots5/Topic4n.pdf,0,,,,,
"05-4O",5,Statistics Education and the wider society,Some Statistical Concepts and Ideas that I Wish Judges and Lawyers Knew,https://iase-web.org/documents/papers/icots5/Topic4o.pdf,0,,,,,
"05-4P",5,Statistics Education and the wider society,Teaching Statistics To An Audience Of One: The Judicial Reception Of Statistical Evidence,https://iase-web.org/documents/papers/icots5/Topic4p.pdf,0,,,,,
"05-4Q",5,Statistics Education and the wider society,Lawyers’ Likelihoods,https://iase-web.org/documents/papers/icots5/Topic4q.pdf,0,,,,,
"05-4R",5,Statistics Education and the wider society,Statistical Literacy For Law Students: Six Hours To Teach!,https://iase-web.org/documents/papers/icots5/Topic4r.pdf,0,,,,,
"05-4S",5,Statistics Education and the wider society,Don’t Teach Statistics To Lawyers!,https://iase-web.org/documents/papers/icots5/Topic4s.pdf,0,,,,,
"05-5A",5,An international perspective on Statistics Education,Statistics Education In South African Medical Training Institutions,https://iase-web.org/documents/papers/icots5/Topic5a.pdf,0,,,,,
"05-5B",5,An international perspective on Statistics Education,The Teaching Of Statistics At The Tertiary Level in Ghana. The Science Statistics: An Introductory Lecture To The First Year,https://iase-web.org/documents/papers/icots5/Topic5b.pdf,0,,,,,
"05-5C",5,An international perspective on Statistics Education,Statistical Education In Nigeria - Problems And Prospects,https://iase-web.org/documents/papers/icots5/Topic5c.pdf,0,,,,,
"05-5D",5,An international perspective on Statistics Education,Statistical Education in the African Region: Private Experiences in South Africa and Namibia,https://iase-web.org/documents/papers/icots5/Topic5d.pdf,0,,,,,
"05-5E",5,An international perspective on Statistics Education,Teaching Of Statistics To Historically Disadvantaged Students: The South African Experience,https://iase-web.org/documents/papers/icots5/Topic5e.pdf,0,,,,,
"05-5F",5,An international perspective on Statistics Education,Evaluation On A Descriptive Statistics Curriculum Unit In The High School Mathematics Curriculum,https://iase-web.org/documents/papers/icots5/Topic5f.pdf,0,,,,,
"05-5G",5,An international perspective on Statistics Education,A Study on the Multimedia Courseware For Introductory Statistics,https://iase-web.org/documents/papers/icots5/Topic5g.pdf,0,,,,,
"05-5H",5,An international perspective on Statistics Education,Teaching Statistical Analysis For Universities: A Principled Approach,https://iase-web.org/documents/papers/icots5/Topic5h.pdf,0,,,,,
"05-5I",5,An international perspective on Statistics Education,The Stochastics Curriculum In Primary and Secondary Education In Spain,https://iase-web.org/documents/papers/icots5/Topic5i.pdf,0,,,,,
"05-5J",5,An international perspective on Statistics Education,Teaching Probability And Inference To Students Of Bioengineering In Argentina,https://iase-web.org/documents/papers/icots5/Topic5j.pdf,0,,,,,
"05-5K",5,An international perspective on Statistics Education,Interdisciplinary Teaching Facing The Future Challenges,https://iase-web.org/documents/papers/icots5/Topic5k.pdf,0,,,,,
"05-5L",5,An international perspective on Statistics Education,Are We Preparing Teachers And Pupils In Statistics For The Next Century?,https://iase-web.org/documents/papers/icots5/Topic5l.pdf,1,professor,Básico,ferramenta,pedagogia,NI
"05-5M",5,An international perspective on Statistics Education,Teaching Statistics In Brazil,https://iase-web.org/documents/papers/icots5/Topic5m.pdf,0,,,,,
"05-5N",5,An international perspective on Statistics Education,Teaching Of Statistics In Newly Independent States: The Case Of Kazakstan,https://iase-web.org/documents/papers/icots5/Topic5n.pdf,0,,,,,
"05-5O",5,An international perspective on Statistics Education,Recent Developments In The Teaching Of Statistics In Egypt: An Evaluative Study In The Light Of Future Trends In The Area,https://iase-web.org/documents/papers/icots5/Topic5o.pdf,0,,,,,
"05-5P",5,An international perspective on Statistics Education,Statistical Education In Transition Countries,https://iase-web.org/documents/papers/icots5/Topic5p.pdf,0,,,,,
"05-6A",5,Research in teaching statistics,Towards a Characterization and Understanding of Students’ Learning in an Interactive Statistics Environment,https://iase-web.org/documents/papers/icots5/Topic6a.pdf,0,,,,,
"05-6B",5,Research in teaching statistics,Students’ (Grades 6-8) Understanding Of Graphs,https://iase-web.org/documents/papers/icots5/Topic6b.pdf,0,,,,,
"05-6C",5,Research in teaching statistics,Beyond Data Analysis: Statistical Inference,https://iase-web.org/documents/papers/icots5/Topic6c.pdf,0,,,,,
"05-6D",5,Research in teaching statistics,Correlation And Regression In Secondary School Text Books,https://iase-web.org/documents/papers/icots5/Topic6d.pdf,0,,,,,
"05-6E",5,Research in teaching statistics,Students And Assessment,https://iase-web.org/documents/papers/icots5/Topic6e.pdf,0,,,,,
"05-6F",5,Research in teaching statistics,Development Of The Concept Of Weighted Average Among High-School Children,https://iase-web.org/documents/papers/icots5/Topic6f.pdf,0,,,,,
"05-6G",5,Research in teaching statistics,The Knowledge Base And Its Use During Research On Problem Solving: A Comparison Of High Achieving And Low Achieving Health Sciences Students,https://iase-web.org/documents/papers/icots5/Topic6g.pdf,0,,,,,
"05-6H",5,Research in teaching statistics,Towards 2000: Reform In Research Practice And Statistical Education,https://iase-web.org/documents/papers/icots5/Topic6h.pdf,0,,,,,
"05-6I",5,Research in teaching statistics,Using Students’ Writings To Assess Their Cognitive And Affective Development In An Elementary Economic Statistics Course,https://iase-web.org/documents/papers/icots5/Topic6i.pdf,0,,,,,
"05-6J",5,Research in teaching statistics,A Multicultural Exploration Of The Interrelationships Among Attitudes About And Achievement In Introductory Statistics,https://iase-web.org/documents/papers/icots5/Topic6j.pdf,0,,,,,
"05-6K",5,Research in teaching statistics,An Electronic Learning Environment For Applied Statistics: Quality Care and Statistics Education In Higher Education,https://iase-web.org/documents/papers/icots5/Topic6k.pdf,0,,,,,
"05-6L",5,Research in teaching statistics,Why Don’t Students Display Data?,https://iase-web.org/documents/papers/icots5/Topic6l.pdf,0,,,,,
"05-6M",5,Research in teaching statistics,Competency-Based Statistics Courses With Flexible Learning Materials,https://iase-web.org/documents/papers/icots5/Topic6m.pdf,0,,,,,
"05-6N",5,Research in teaching statistics,Explaining The Law Of Large Numbers,https://iase-web.org/documents/papers/icots5/Topic6n.pdf,0,,,,,
"05-6O",5,Research in teaching statistics,Developing And Testing A Teaching Model Using Experimental Design And Interview Analysis,https://iase-web.org/documents/papers/icots5/Topic6o.pdf,0,,,,,
"05-6P",5,Research in teaching statistics,Students’ Understanding Of The Significance Level Concept,https://iase-web.org/documents/papers/icots5/Topic6p.pdf,0,,,,,
"05-6Q",5,Research in teaching statistics,Scratching The Surface Of Probability,https://iase-web.org/documents/papers/icots5/Topic6q.pdf,0,,,,,
"05-6R",5,Research in teaching statistics,"Is It Luck, Is It Random Or Does The Dice Know?",https://iase-web.org/documents/papers/icots5/Topic6r.pdf,0,,,,,
"05-6S",5,Research in teaching statistics,Young Children’s Probabilistic Thinking,https://iase-web.org/documents/papers/icots5/Topic6s.pdf,0,,,,,
"05-6T",5,Research in teaching statistics,Aligning Assessment with Instructional Goals and Visions,https://iase-web.org/documents/papers/icots5/Topic6t.pdf,0,,,,,
"05-6U",5,Research in teaching statistics,The Statistical Reasoning Assessment: Development and Validation of a Research Tool,https://iase-web.org/documents/papers/icots5/Topic6u.pdf,0,,,,,
"05-6V",5,Research in teaching statistics,Assessment Of Student Performance In Statistics,https://iase-web.org/documents/papers/icots5/Topic6v.pdf,0,,,,,
"05-6W",5,Research in teaching statistics,Assessment Of Statistical Understanding In A Media Context,https://iase-web.org/documents/papers/icots5/Topic6w.pdf,0,,,,,
"05-6X",5,Research in teaching statistics,What Is Research In Statistical Education?,https://iase-web.org/documents/papers/icots5/Topic6x.pdf,0,,,,,
"05-7A",5,The role of technology in teaching statistics,PACE2000 - Stand Alone Software Package and Add-In For Microsoft Excel Designed For Teaching Statistics At Introductory-Intermediate Level,https://iase-web.org/documents/papers/icots5/Topic7a.pdf,1,aluno,Superior,ferramenta,tecnologia,Excel
"05-7B",5,The role of technology in teaching statistics,"Integrating Microsoft Windows Applications with Modules for Learning Statistics, Mathematics and Other Core Curriculum Areas",https://iase-web.org/documents/papers/icots5/Topic7b.pdf,1,aluno,Básico,ferramenta,tecnologia,Excel
"05-7C",5,The role of technology in teaching statistics,"DataSpace - A Computer Learning Environment For Data Analysis And Statistics Based On Dynamic Dragging, Visualization, Simulation, And Networked Collaboration",https://iase-web.org/documents/papers/icots5/Topic7c.pdf,1,"aluno,professor",NA,ferramenta,tecnologia,DataSpace
"05-7D",5,The role of technology in teaching statistics,Using New Technologies In The Teaching Of SPSS,https://iase-web.org/documents/papers/icots5/Topic7d.pdf,1,aluno,NI,conteúdo,conteúdo,SPSS
"05-7E",5,The role of technology in teaching statistics,Simulation And Formal Manipulations: Complementary Approaches For Studying Random Events With Computers,https://iase-web.org/documents/papers/icots5/Topic7e.pdf,1,aluno,NI,conteúdo,tecnologia,NI
"05-7F",5,The role of technology in teaching statistics,Use Of Excel In A First Course In Statistics For Mathematics Students,https://iase-web.org/documents/papers/icots5/Topic7f.pdf,1,aluno,Superior,ferramenta,pedagogia,Excel
"05-7G",5,The role of technology in teaching statistics,The Impact Of Computer Programs On The Learning Of Descriptive Statistics: The Case Of DSTATS,https://iase-web.org/documents/papers/icots5/Topic7g.pdf,1,aluno,Superior,ferramenta,tecnologia,DSTATS
"05-7H",5,The role of technology in teaching statistics,Learning Probability Concepts Using Microsoft Excel.,https://iase-web.org/documents/papers/icots5/Topic7h.pdf,1,aluno,Básico,ferramenta,tecnologia,Excel
"05-7I",5,The role of technology in teaching statistics,Leasp97: An Improvement In Teaching And Analysing New Methodology On Probabilistic Clustering Models,https://iase-web.org/documents/papers/icots5/Topic7i.pdf,1,aluno,NA,ferramenta,tecnologia,LEASP
"05-7J",5,The role of technology in teaching statistics,A Computer-Aided Learning Package For Hypothesis Testing,https://iase-web.org/documents/papers/icots5/Topic7j.pdf,1,aluno,Superior,ferramenta,tecnologia,HypoTest
"05-7K",5,The role of technology in teaching statistics,Teaching Of Regression Models Building By ADSTAT Package,https://iase-web.org/documents/papers/icots5/Topic7k.pdf,1,aluno,Superior,ferramenta,tecnologia,ADSTAT
"05-7L",5,The role of technology in teaching statistics,Some Experience Comparing Simulation And Conventional Methods In An Elementary Statistics Course,https://iase-web.org/documents/papers/icots5/Topic7l.pdf,1,aluno,Superior,ferramenta,pedagogia,"Minitab,Resampling Stats"
"05-7M",5,The role of technology in teaching statistics,"What To Teach Before Inference: Building The Bones From Paper, Software, and Stories",https://iase-web.org/documents/papers/icots5/Topic7m.pdf,1,aluno,NI,ferramenta,pedagogia,DataSpace
"05-7N",5,The role of technology in teaching statistics,Assessing Conceptual Change In Learning Statistics,https://iase-web.org/documents/papers/icots5/Topic7n.pdf,1,aluno,Superior,ferramenta,tecnologia,StatPlay
"05-7O",5,The role of technology in teaching statistics,Building And Experimenting: A Model For Meaningful Instruction In Data Analysis,https://iase-web.org/documents/papers/icots5/Topic7o.pdf,1,aluno,Superior,ferramenta,pedagogia,Statgraphics
"05-7P",5,The role of technology in teaching statistics,Immersion In Data Handling: Using The Chance-Plus Software With Introductory College Statistics Students,https://iase-web.org/documents/papers/icots5/Topic7p.pdf,1,aluno,Superior,ferramenta,"pedagogia,tecnologia",Chance-Plus
"05-7Q",5,The role of technology in teaching statistics,Professional Development Of Teachers Using Cd-Rom Technology,https://iase-web.org/documents/papers/icots5/Topic7q.pdf,0,,,,,
"05-7R",5,The role of technology in teaching statistics,Introduction To Statistics: Enhancement Through The Use of the Graphing Calculator,https://iase-web.org/documents/papers/icots5/Topic7r.pdf,0,,,,,
"05-7S",5,The role of technology in teaching statistics,Using The TI-83 Graphics Calculator In A Liberal Arts Statistics Course,https://iase-web.org/documents/papers/icots5/Topic7s.pdf,0,,,,,
"05-7T",5,The role of technology in teaching statistics,A Calculator Like The TI-85 Can Speed Up The Teaching Of Statistics Significantly,https://iase-web.org/documents/papers/icots5/Topic7t.pdf,0,,,,,
"05-7U",5,The role of technology in teaching statistics,Statplay: Multimedia For Statistical Understanding,https://iase-web.org/documents/papers/icots5/Topic7u.pdf,1,aluno,Superior,ferramenta,pedagogia,StatPlay
"05-7V",5,The role of technology in teaching statistics,Hypermedia And WWW For The Teaching Of Statistics,https://iase-web.org/documents/papers/icots5/Topic7v.pdf,0,,,,,
"05-7W",5,The role of technology in teaching statistics,Network Facilities For Teaching Statistics: A Data Archive Driven By Interactive Software,https://iase-web.org/documents/papers/icots5/Topic7w.pdf,0,,,,,
"05-7X",5,The role of technology in teaching statistics,Visual Statistics: A Multimedia Statistics Facilitator,https://iase-web.org/documents/papers/icots5/Topic7x.pdf,1,aluno,"Básico,Superior",ferramenta,tecnologia,NI
"05-7Z",5,The role of technology in teaching statistics,Sorting The Wheat From The Chaff: Evaluating A Large Corpus Of Computer-Based Statistics Teaching Resources,https://iase-web.org/documents/papers/icots5/Topic7z.pdf,1,aluno,Superior,ferramenta,tecnologia,ConStatS
"05-7ZA",5,The role of technology in teaching statistics,Effective Video-Based Resources For Learning Statistics,https://iase-web.org/documents/papers/icots5/Topic7za.pdf,0,,,,,
"05-7ZB",5,The role of technology in teaching statistics,WWW And Teaching Statistics - A Teacher’s Point Of View,https://iase-web.org/documents/papers/icots5/Topic7zb.pdf,0,,,,,
"05-7ZC",5,The role of technology in teaching statistics,Trellis Display: A Framework For Displaying Multivariable Data,https://iase-web.org/documents/papers/icots5/Topic7zc.pdf,0,,,,,
"05-7ZD",5,The role of technology in teaching statistics,Teaching Basic Statistical Concepts Using Computer Display Tools,https://iase-web.org/documents/papers/icots5/Topic7zd.pdf,1,aluno,Superior,ferramenta,tecnologia,"ActivStats,DISCUS,QUERCUS,Models'n'Data"
"05-7ZE",5,The role of technology in teaching statistics,"Simulation Models, Graphical Outputs, And Statistical Discovery",https://iase-web.org/documents/papers/icots5/Topic7ze.pdf,1,aluno,NI,ferramenta,pedagogia,NI
"05-7ZF",5,The role of technology in teaching statistics,Understanding Graphical And Numerical Representations Of Statistical Association In A Computer Environment,https://iase-web.org/documents/papers/icots5/Topic7zf.pdf,1,"aluno,professor",NI,ferramenta,pedagogia,Statgraphics
"05-7ZG",5,The role of technology in teaching statistics,Students - Statistical Software - Statistical Tasks: A Study Of Problems At The Interfaces,https://iase-web.org/documents/papers/icots5/Topic7zg.pdf,1,aluno,NI,ferramenta,tecnologia,BMDP
"05-7ZH",5,The role of technology in teaching statistics,Link: The Principled Design Of A Computer Assisted Learning Program For Correlation,https://iase-web.org/documents/papers/icots5/Topic7zh.pdf,0,,,,,
"05-7ZI",5,The role of technology in teaching statistics,Expressions Of Control In Stochastic Processes,https://iase-web.org/documents/papers/icots5/Topic7zi.pdf,1,aluno,Básico,ferramenta,tecnologia,Chance-Maker
"05-8A",5,Other determinants and developments in Statistics Education,An Historical Exploration Of The Concept Of Average,https://iase-web.org/documents/papers/icots5/Topic8a.pdf,0,,,,,
"05-8B",5,Other determinants and developments in Statistics Education,Evolution Of The Teaching Of Statistics And Probability In France At Secondary School Level,https://iase-web.org/documents/papers/icots5/Topic8b.pdf,0,,,,,
"05-8C",5,Other determinants and developments in Statistics Education,The Development Of The Idea Of The Null Hypothesis In Research And Teaching,https://iase-web.org/documents/papers/icots5/Topic8c.pdf,0,,,,,
"05-8D",5,Other determinants and developments in Statistics Education,Confessions Of A Constructionist: Fifteen Years Of Undergraduate Interactions - For Better Or For Worse,https://iase-web.org/documents/papers/icots5/Topic8d.pdf,0,,,,,
"05-8E",5,Other determinants and developments in Statistics Education,Assessing The Effects Of A Computer Microworld On Statistical Reasoning,https://iase-web.org/documents/papers/icots5/Topic8e.pdf,1,aluno,Superior,ferramenta,tecnologia,Sampling Distributions
